log capacity,log update,log init-update,time(s),proof size(KB)
20,2,2,0.2434,4902
20,3,2,0.248,4942
20,4,2,0.2487,4942
20,5,2,0.2408,4942
20,6,2,0.2523,4942
20,7,2,0.2617,4942
20,8,2,0.2524,4942
20,9,2,0.251,4942
20,10,2,0.2693,4942
20,11,2,0.3165,4942
20,12,2,0.3659,4942
20,13,2,0.385,4942
20,14,2,0.4177,4942
20,15,2,0.5518,4942
20,16,2,0.6792,4942
20,17,2,0.9354,4942
20,18,2,1.198,4942
21,1,2,0.4406,5198
21,2,2,0.43,5198
21,3,2,0.4254,5238
21,4,2,0.4358,5238
21,5,2,0.4527,5238
21,6,2,0.4431,5238
21,7,2,0.4662,5238
21,8,2,0.4486,5238
21,9,2,0.468,5238
21,10,2,0.4649,5238
21,11,2,0.5096,5238
21,12,2,0.5616,5238
21,13,2,0.5945,5238
21,14,2,0.642,5238
21,15,2,0.7565,5238
21,16,2,0.9088,5238
21,17,2,1.137,5238
21,18,2,1.545,5238
21,19,2,2.268,5238
22,1,2,0.8346,5374
22,2,2,0.8367,5374
22,3,2,0.8194,5414
22,4,2,0.8637,5414
22,5,2,0.8331,5414
22,6,2,0.8205,5414
22,7,2,0.8728,5414
22,8,2,0.8365,5414
22,9,2,0.8443,5414
22,10,2,0.8348,5414
22,11,2,0.8993,5414
22,12,2,0.9541,5414
22,13,2,0.967,5414
22,14,2,1.03,5414
22,15,2,1.193,5414
22,16,2,1.322,5414
22,17,2,1.578,5414
22,18,2,2.115,5414
22,19,2,2.807,5414
22,20,2,4.742,5414
23,1,2,1.622,5670
23,2,2,1.645,5670
23,3,2,1.657,5710
23,4,2,1.654,5710
23,5,2,1.635,5710
23,6,2,1.722,5710
23,7,2,1.651,5710
23,8,2,1.704,5710
23,9,2,1.665,5710
23,10,2,1.73,5710
23,11,2,1.75,5710
23,12,2,1.781,5710
23,13,2,1.806,5710
23,14,2,1.913,5710
23,15,2,2.046,5710
23,16,2,2.153,5710
23,17,2,2.424,5710
23,18,2,2.895,5710
23,19,2,3.837,5710
23,20,2,5.603,5710
23,21,2,9.537,5710
24,1,2,3.23,5846
24,2,2,3.245,5846
24,3,2,3.258,5846
24,4,2,3.285,5886
24,5,2,3.3,5886
24,6,2,3.266,5886
24,7,2,3.269,5886
24,8,2,3.243,5886
24,9,2,3.259,5886
24,10,2,3.328,5886
24,11,2,3.408,5886
24,12,2,3.444,5886
24,13,2,3.48,5886
24,14,2,3.564,5886
24,15,2,3.708,5886
24,16,2,3.835,5886
24,17,2,4.16,5886
24,18,2,4.788,5886
